################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.7562474193183942E-01 a       367     0    15     1    17
 -8.5472878430580074E-02 a       368     0    15     1    18
  9.7412959794494935E-02 a       369     0    15     1    19
 -3.9942398373320878E-02 a       370     0    15     1    20
  2.8149642732150145E-03 a       371     0    15     1    21
  1.6035148303502655E-01 a       372     0    15     1    22
  6.1020613492046589E-03 a       373     0    15     1    23
  3.2639899468687744E-01 a       374     0    15     1    24
 -7.9572321680561983E-02 a       375     0    15     1    25
  1.4773081463463919E-01 a       376     0    16     1     1
 -3.1139713615093378E-02 a       377     0    16     1     2
 -1.2375285704986741E-01 a       378     0    16     1     3
  2.5881188892443615E-02 a       379     0    16     1     4
  1.3933832340057975E-01 a       380     0    16     1     5
  9.4822861245315845E-02 a       381     0    16     1     6
 -5.4327660417825101E-02 a       382     0    16     1     7
  7.9143338970196469E-03 a       383     0    16     1     8
 -2.0277336963057186E-02 a       384     0    16     1     9
 -1.2174534213897102E-01 a       385     0    16     1    10
  1.2695986337573911E-02 a       386     0    16     1    11
 -1.0648896631975106E-01 a       387     0    16     1    12
  1.4844201572730231E-01 a       388     0    16     1    13
  1.4810830968301955E-01 a       389     0    16     1    14
  1.7480255736246916E-01 a       390     0    16     1    15
  1.2086967302222373E-01 a       391     0    16     1    16
 -1.8418763662276097E-01 a       392     0    16     1    17
  2.2233193652082850E-01 a       393     0    16     1    18
  1.0526725654525416E-01 a       394     0    16     1    19
 -1.8141434833207581E-01 a       395     0    16     1    20
  6.6197278705081311E-02 a       396     0    16     1    21
 -6.2681538387410335E-02 a       397     0    16     1    22
  2.2444428390139037E-01 a       398     0    16     1    23
 -1.6336416394233200E-01 a       399     0    16     1    24
 -2.0249065186566391E-02 a       400     0    16     1    25
 -6.2710581605146143E-02 a       401     0    17     1     1
  1.1315686242922968E-01 a       402     0    17     1     2
  1.0023687499863418E-01 a       403     0    17     1     3
  2.5235281490467859E-01 a       404     0    17     1     4
  1.1141065403025369E-01 a       405     0    17     1     5
 -3.1733919670356721E-02 a       406     0    17     1     6
 -8.5955803768622357E-02 a       407     0    17     1     7
  3.6954994700697776E-02 a       408     0    17     1     8
  2.6991322508310281E-02 a       409     0    17     1     9
 -2.1379208696753160E-01 a       410     0    17     1    10
 -8.2449513985910300E-02 a       411     0    17     1    11
  1.1867760546582226E-01 a       412     0    17     1    12
  3.3586515316400994E-01 a       413     0    17     1    13
  9.4785626174219623E-02 a       414     0    17     1    14
 -1.0501673774711891E-01 a       415     0    17     1    15
  2.7933698921405084E-02 a       416     0    17     1    16
  2.8066161009699758E-01 a       417     0    17     1    17
 -1.0954386525824823E-02 a       418     0    17     1    18
 -8.8592669877192651E-03 a       419     0    17     1    19
  1.9170169072418905E-01 a       420     0    17     1    20
 -2.0870528316447489E-02 a       421     0    17     1    21
  2.7005034958119439E-01 a       422     0    17     1    22
  1.7578138253153724E-01 a       423     0    17     1    23
  2.1412690365922463E-01 a       424     0    17     1    24
  3.0348953831287245E-01 a       425     0    17     1    25
  2.1891715505242254E-01 a       426     0    18     1     1
  3.5899916617849872E-02 a       427     0    18     1     2
 -1.0071457172757459E-01 a       428     0    18     1     3
  1.4333159226713969E-02 a       429     0    18     1     4
 -4.5776102144623854E-02 a       430     0    18     1     5
 -5.7013478902028999E-02 a       431     0    18     1     6
  2.6066683674716296E-01 a       432     0    18     1     7
  4.8523665112813391E-02 a       433     0    18     1     8
  7.6514015586720843E-02 a       434     0    18     1     9
  1.1765717504943325E-02 a       435     0    18     1    10
 -4.4404526939710110E-03 a       436     0    18     1    11
  4.0983280967271437E-03 a       437     0    18     1    12
  2.3633934777416429E-01 a       438     0    18     1    13
  1.5458935413558286E-01 a       439     0    18     1    14
  2.6159830821305707E-01 a       440     0    18     1    15
  1.4153440219253316E-01 a       441     0    18     1    16
 -3.9557490022915275E-02 a       442     0    18     1    17
  8.1399724457418818E-02 a       443     0    18     1    18
 -5.7210421432608176E-02 a       444     0    18     1    19
  2.8918799200041471E-03 a       445     0    18     1    20
 -1.6338119643367989E-02 a       446     0    18     1    21
 -7.1772675577516890E-02 a       447     0    18     1    22
 -2.4339455048620212E-01 a       448     0    18     1    23
  2.7691446877600622E-02 a       449     0    18     1    24
  2.9543188753412001E-02 a       450     0    18     1    25
 -3.7772382133235465E-02 a       451     0    19     1     1
  4.6605619968686465E-02 a       452     0    19     1     2
  7.5011573721346786E-02 a       453     0    19     1     3
  2.6644727651197367E-02 a       454     0    19     1     4
  6.6228535795319510E-02 a       455     0    19     1     5
  3.3813693309396409E-01 a       456     0    19     1     6
  8.6429079628040431E-02 a       457     0    19     1     7
  1.3389416930090259E-01 a       458     0    19     1     8
 -3.0581645901860227E-01 a       459     0    19     1     9
 -2.3507662160737211E-01 a       460     0    19     1    10
 -4.8912617683122953E-02 a       461     0    19     1    11
  1.8643219904973757E-01 a       462     0    19     1    12
  2.3416500592400677E-01 a       463     0    19     1    13
 -1.6705935970038838E-01 a       464     0    19     1    14
 -1.9462047380042610E-01 a       465     0    19     1    15
 -3.6108988106863853E-02 a       466     0    19     1    16
  4.5988858277491912E-02 a       467     0    19     1    17
 -1.0070189976863550E-01 a       468     0    19     1    18
  2.8790033994961772E-02 a       469     0    19     1    19
  2.4236669941461969E-01 a       470     0    19     1    20
 -5.9025241006256196E-02 a       471     0    19     1    21
  2.0144765863744962E-01 a       472     0    19     1    22
  3.1833183553309115E-02 a       473     0    19     1    23
 -4.0371637999977672E-02 a       474     0    19     1    24
  1.4199818751645504E-01 a       475     0    19     1    25
 -1.9544777121065970E-01 a       476     0    20     1     1
 -1.9411659649515856E-01 a       477     0    20     1     2
  3.3141782643727545E-02 a       478     0    20     1     3
 -2.4056411206877493E-01 a       479     0    20     1     4
  1.3633214886497749E-01 a       480     0    20     1     5
  1.6006342051473960E-01 a       481     0    20     1     6
  8.1374473665415725E-02 a       482     0    20     1     7
  2.3472155435353881E-01 a       483     0    20     1     8
  3.9263351225565757E-01 a       484     0    20     1     9
  7.3871059020250637E-02 a       485     0    20     1    10
  1.0017881879550290E-01 a       486     0    20     1    11
  5.2821929027185091E-02 a       487     0    20     1    12
 -7.1288846205853407E-02 a       488     0    20     1    13
 -2.2334595087716005E-01 a       489     0    20     1    14
 -7.8992357792232987E-02 a       490     0    20     1    15
  1.0582951111526974E-01 a       491     0    20     1    16
  3.9172582031913122E-02 a       492     0    20     1    17
 -2.0251778865646075E-01 a       493     0    20     1    18
 -2.3541412336814996E-01 a       494     0    20     1    19
 -2.8101349950918279E-02 a       495     0    20     1    20
 -1.1773196694703081E-02 a       496     0    20     1    21
  7.1414092880011562E-02 a       497     0    20     1    22
 -2.7227354612126048E-01 a       498     0    20     1    23
  4.6849507631150554E-02 a       499     0    20     1    24
 -2.0176273749617299E-01 a       500     0    20     1    25
  5.2722922079818248E-02 a       501     0    21     1     1
 -3.0331949693075944E-02 a       502     0    21     1     2
 -4.8073841787474383E-02 a       503     0    21     1     3
