################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         3         45   2.5699378090957812E-04   1.5372633469630650E-02   5.5079644571188677E-03   2.5129192254148428E-03
         3         46   0.0000000000000000E+00   2.3556810903121268E-03   3.0867649188218767E-04   3.9076279012640865E-04
         3         47   0.0000000000000000E+00   4.5801753548120614E-03   8.6220108674988575E-04   8.0608346131954113E-04
         3         48   0.0000000000000000E+00   6.9288285557997704E-05   2.1809289869484080E-06   6.5312976430990966E-06
         3         49   0.0000000000000000E+00   7.9942824412820249E-04   4.2723135732142110E-05   7.5367626700825836E-05
         3         50   0.0000000000000000E+00   9.0439716571345948E-04   2.4981245558953471E-05   7.8939890377537064E-05
         3         51   7.8450929700938071E-03   8.3532864318817457E-02   3.3623350128014921E-02   1.0862032478572071E-02
         3         52   2.2671553539649187E-02   1.6650596554912586E-01   8.6093185535641603E-02   2.3441787899417726E-02
         3         53   0.0000000000000000E+00   7.2290221372133126E-03   1.3576924228116377E-03   1.2698155087287554E-03
         3         54   0.0000000000000000E+00   1.6027324765764010E-02   3.4399183939764757E-03   2.8630118120861478E-03
         3         55   8.6829056526042568E-04   2.3408725734029696E-02   9.3221431097488018E-03   3.8514110649191346E-03
         3         56   0.0000000000000000E+00   9.6720605200583155E-03   1.5383511695526036E-03   1.6229571503713514E-03
         3         57   0.0000000000000000E+00   6.5240629263929508E-03   1.4625214700909588E-03   1.1452317546659448E-03
         3         58   0.0000000000000000E+00   1.6445308686253255E-04   6.4070278109919379E-06   1.8628261406412797E-05
         3         59   0.0000000000000000E+00   2.5246617900300671E-03   1.9602830419249750E-04   3.2039593271484959E-04
         3         60   0.0000000000000000E+00   1.3444828883171171E-03   3.2293240324156731E-05   1.0502117010288502E-04
         3         61   2.5674897329075721E-05   3.4070397501703635E-03   4.4293320033253762E-04   2.6015967031658017E-04
         3         62   3.6579364090863527E-05   4.1953428848862558E-03   1.1681086733194353E-03   6.0488966466752550E-04
         3         63   0.0000000000000000E+00   1.2699765723828461E-04   9.9927621676067305E-06   1.5548987684289709E-05
         3         64   0.0000000000000000E+00   1.1174725334424016E-03   7.7810192124665653E-05   9.5158848211251697E-05
         3         65   5.2153316815464081E-06   2.3878756954487075E-03   7.5451403579581897E-04   4.0242011035891836E-04
         3         66   0.0000000000000000E+00   1.8818846183387772E-04   1.1701740040651726E-05   1.9814254810625704E-05
         3         67   0.0000000000000000E+00   8.7689943191085853E-04   1.0564635749124543E-04   1.2296161437403262E-04
         3         68   0.0000000000000000E+00   2.7180197880949234E-06   6.5013103797354443E-08   2.4444749841119847E-07
         3         69   0.0000000000000000E+00   3.2354039182925793E-05   8.7218134728923939E-07   2.2790179263781046E-06
         3         70   0.0000000000000000E+00   2.0752929087243204E-04   3.2615895142747954E-06   1.1481588716160352E-05
         3         71   5.9115537312041007E-03   5.2323184258267499E-02   2.1824815830952658E-02   6.4249628551395462E-03
         3         72   1.9603256055927106E-02   1.2281089416993621E-01   6.7507888628777546E-02   1.6574633312353797E-02
         3         73   0.0000000000000000E+00   3.2736514488631765E-03   7.2665887678624596E-04   6.2476814769929891E-04
